project_id,project_progress,task_completion_rate,blocked_task_ratio,overdue_task_ratio,requirement_completion_rate,milestone_completion_rate,open_issue_count,critical_issue_count,api_test_failure_rate,avg_api_response_time_ms,technical_review_score,days_remaining,development_velocity,risk_level
DP-0185,27.91,37.08,7.96,1.72,40.39,45.75,4,1,12.11,165.92,81.23,18,3.9,MEDIUM
DP-0186,51.81,53.38,0.17,1.18,22.02,57.61,6,0,6.52,80.0,91.19,22,4.35,LOW
DP-0187,39.81,42.64,0.0,12.49,47.02,51.25,5,1,3.39,172.13,76.94,51,4.37,MEDIUM
DP-0188,43.58,42.33,6.41,7.44,45.62,44.22,4,1,11.09,212.83,85.41,9,3.03,MEDIUM
DP-0189,56.39,51.7,0.0,6.16,55.87,63.94,2,0,4.52,233.29,83.56,17,3.94,LOW
DP-0190,87.73,100.0,0.0,17.36,100.0,100.0,2,1,10.86,80.0,84.21,34,6.77,LOW
DP-0191,7.21,7.05,14.96,1.19,11.85,8.46,10,4,14.57,184.72,80.44,19,0.56,HIGH
DP-0192,47.2,46.42,9.9,18.54,32.35,46.23,6,1,8.76,265.0,80.43,41,3.85,MEDIUM
DP-0193,41.57,44.71,5.29,3.38,49.79,57.42,3,2,13.09,205.5,70.64,29,3.06,HIGH
DP-0194,85.94,86.42,0.0,0.57,87.47,100.0,0,0,14.45,298.5,92.03,24,6.61,LOW
DP-0195,78.1,63.43,2.72,6.37,64.23,65.09,2,0,9.21,179.35,85.47,27,4.8,LOW
DP-0196,38.42,52.2,1.53,4.5,42.84,16.36,6,1,6.09,91.72,88.64,14,3.97,HIGH
DP-0197,56.56,83.0,7.39,4.21,59.47,46.69,3,0,8.93,186.01,92.89,18,6.45,LOW
DP-0198,55.43,43.36,13.31,0.1,51.43,53.0,5,0,12.61,160.07,77.32,20,2.47,HIGH
DP-0199,87.3,77.02,0.0,8.11,79.97,85.02,1,0,16.29,251.47,91.19,73,6.42,LOW
DP-0200,54.74,56.34,6.47,7.07,64.88,60.27,3,0,1.95,170.53,80.23,32,3.79,LOW
DP-0201,51.97,56.36,0.0,0.3,47.95,49.69,1,0,9.72,177.1,89.9,19,4.57,LOW
DP-0202,42.11,23.31,6.28,13.79,61.65,37.64,5,1,4.1,255.69,77.89,38,3.28,MEDIUM
DP-0203,49.62,30.6,1.44,5.78,40.19,45.33,4,0,6.53,235.52,96.11,27,3.61,LOW
DP-0204,60.48,92.95,2.13,9.2,72.19,52.83,5,1,15.73,135.18,78.42,41,6.46,MEDIUM
DP-0205,33.0,36.99,8.95,0.0,43.52,32.05,6,1,6.39,177.65,79.27,14,2.82,MEDIUM
DP-0206,42.95,63.15,12.33,1.55,50.03,23.7,3,0,16.48,318.07,82.73,22,4.48,MEDIUM
DP-0207,60.29,64.78,6.82,2.34,59.93,62.49,7,0,13.4,240.69,82.58,23,5.44,LOW
DP-0208,40.04,43.62,5.7,1.98,45.61,25.01,3,1,12.43,278.6,82.1,57,3.44,MEDIUM
DP-0209,82.02,87.75,0.46,4.25,78.65,100.0,2,0,13.8,212.6,80.35,20,5.62,LOW
DP-0210,52.03,61.06,7.41,0.0,54.54,51.6,4,2,7.98,295.26,73.81,21,3.56,HIGH
DP-0211,66.69,44.88,1.6,0.0,57.66,72.4,2,0,0.0,155.06,81.29,40,3.17,LOW
DP-0212,34.61,29.82,7.9,7.51,40.22,45.11,5,0,10.68,183.92,81.44,43,2.8,MEDIUM
DP-0213,74.55,70.99,15.45,0.0,88.11,73.13,3,0,19.29,258.13,70.75,18,4.24,LOW
DP-0214,49.76,48.59,4.16,0.0,44.36,72.07,3,0,9.18,274.42,91.92,27,4.05,MEDIUM
DP-0215,61.56,63.31,2.48,0.95,55.16,75.84,8,1,6.67,119.32,86.19,36,6.17,LOW
DP-0216,68.71,67.57,0.0,7.94,72.69,76.21,4,1,15.54,259.97,88.41,17,4.59,LOW
DP-0217,45.06,35.88,5.12,15.87,38.88,46.48,6,1,13.08,218.35,71.37,29,2.79,MEDIUM
DP-0218,62.21,54.28,9.3,6.95,45.6,78.07,2,0,3.82,80.0,77.16,55,4.59,LOW
DP-0219,66.6,71.15,0.0,0.0,56.06,78.72,4,1,7.82,80.0,81.84,52,5.02,LOW
DP-0220,62.37,75.71,1.73,9.36,66.26,31.59,3,0,14.66,189.94,87.14,28,3.78,LOW
DP-0221,57.3,67.08,1.01,13.71,56.34,45.07,1,0,20.05,245.43,86.13,51,4.23,LOW
DP-0222,53.1,55.18,3.96,5.07,51.24,56.03,0,0,8.58,314.61,80.32,54,3.37,LOW
DP-0223,47.34,46.29,4.8,2.75,47.99,43.4,7,0,15.06,305.4,80.55,11,4.18,MEDIUM
DP-0224,75.92,67.81,0.0,1.32,80.3,73.99,5,0,6.26,152.84,92.23,61,5.19,LOW
DP-0225,44.83,57.86,0.0,4.36,60.93,59.1,1,0,8.53,174.69,82.9,40,5.33,LOW
DP-0226,55.2,61.44,0.0,2.44,81.85,50.18,1,1,14.47,265.01,80.42,26,5.36,LOW
DP-0227,56.84,69.73,0.0,5.08,41.51,56.41,4,0,15.03,277.92,86.29,15,4.59,LOW
DP-0228,41.82,54.7,8.8,8.79,33.1,51.47,3,2,0.6,143.99,74.65,18,3.29,HIGH
DP-0229,27.01,26.07,2.39,12.12,32.43,48.51,5,1,11.32,248.86,81.55,44,2.77,HIGH
DP-0230,64.36,64.35,5.3,0.0,78.4,63.08,5,0,0.05,323.8,84.48,16,5.36,LOW
DP-0231,63.19,54.94,0.0,0.0,61.54,71.59,3,0,5.44,274.28,89.05,15,4.7,LOW
DP-0232,49.49,49.37,0.0,12.15,30.15,75.4,2,0,12.55,341.61,77.54,26,4.74,LOW
DP-0233,71.54,72.31,2.74,6.94,82.85,74.62,3,0,7.84,261.81,89.18,8,6.61,LOW
DP-0234,71.17,73.34,7.97,4.1,54.17,81.45,1,0,22.15,294.74,86.71,23,4.7,LOW
DP-0235,71.83,53.99,2.78,8.25,60.99,62.13,3,1,5.61,205.01,71.56,26,3.55,MEDIUM
DP-0236,73.31,89.64,5.37,0.0,80.27,100.0,1,0,11.15,233.89,70.31,25,5.47,LOW
DP-0237,45.73,47.62,11.19,11.98,30.13,63.48,5,1,8.2,178.84,78.32,25,3.94,MEDIUM
DP-0238,55.42,46.54,2.45,0.0,62.35,76.59,6,0,5.92,170.39,92.54,41,3.73,MEDIUM
DP-0239,77.64,60.38,3.88,1.8,78.92,53.34,1,0,11.87,224.96,79.62,62,5.59,LOW
DP-0240,93.01,88.01,12.93,0.0,86.99,70.02,2,0,11.41,274.45,72.9,27,5.26,LOW
